Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Saanvi Deshmukh,55,Male,Kashmir,September,Winter,8,5,No,Pilgrimage
Pooja Patil,38,Male,Konkan,April,Monsoon,10,6,,Festival
Anika Pawar,45,Male,Manali,November,,5,6,Yes,Holiday
Vivaan Kulkarni,51,Female,Goa,,Festival,13,7,Yes,Festival
Aadhya Chitkote,35,Female,Goa,November,Festival,9,6,No,
Sujeet Jadhav,44,Male,Shimla,August,Winter,10,3,Yes,Festival
,53,Male,Shimla,August,Summer,13,9,Yes,Business
Sai Ghosh,31,Male,Manali,June,Summer,3,,No,Festival
Saanvi Singh,21,Male,,January,Monsoon,10,5,Yes,Festival
Aarav Deshmukh,34,Male,,December,Festival,11,6,No,Festival
Rohit Patil,41,Male,,February,Summer,7,5,No,Festival
Ayaan Waghmare,58,Female,Konkan,April,Festival,3,10,Yes,Business
Aditya Reddy,43,Male,Vrindavan,,Winter,,3,No,Business
Sara Thakur,56,Female,Goa,July,Winter,13,4,Yes,Business
Vivaan Ghosh,56,Male,Jaipur,July,Summer,2,2,Yes,Pilgrimage
Reyansh Chitkote,35,Male,Manali,November,Winter,13,10,No,Festival
Sneha Sharma,20,Male,Shimla,June,Monsoon,,8,No,Holiday
Anika Mishra,18,Female,Shimla,December,Winter,2,3,No,Business
Gaurav Sharma,57,Male,Konkan,October,Summer,4,3,No,Pilgrimage
Aarav Kulkarni,24,,Shimla,May,Winter,13,2,No,Festival
Kiran Reddy,22,Male,Konkan,May,Winter,15,10,Yes,Pilgrimage
Vihaan Deshmukh,37,Female,Goa,,Monsoon,4,3,Yes,Holiday
Pari Pandey,43,Male,Shimla,March,Monsoon,4,7,Yes,Pilgrimage
Aarav Ghosh,48,Male,Shimla,November,,9,7,Yes,Business
Pari Joshi,39,Male,Goa,December,Festival,8,7,No,Business
Aarav Mishra,25,Female,Manali,November,Summer,10,4,Yes,Pilgrimage
Pari Reddy,55,Male,Goa,April,Festival,9,6,No,Pilgrimage
Myra Reddy,51,Female,Goa,,Winter,9,5,Yes,Business
Sujeet More,26,Male,Konkan,October,Festival,4,6,Yes,
Aditya Chitkote,48,Male,Shimla,March,Festival,5,7,No,
Pooja Sharma,31,Male,Vrindavan,July,Winter,12,9,Yes,Festival
Vihaan Jadhav,59,Female,,June,Festival,11,6,No,Festival
Ishaan Waghmare,46,Female,Goa,May,Summer,11,10,Yes,Festival
Abhilasha Thakur,37,Female,Vrindavan,October,Monsoon,,5,No,Business
Vivaan Mishra,51,Female,Jaipur,April,Summer,5,3,Yes,Business
Reyansh Deshmukh,35,Male,Goa,August,Monsoon,14,6,Yes,Holiday
Gaurav Singh,35,Female,,October,Winter,14,10,,Business
Krishna Pandey,50,,Manali,March,,14,4,Yes,Pilgrimage
Krishna Reddy,53,Male,Goa,January,Winter,8,10,Yes,Business
Gaurav Yadav,33,Female,Konkan,February,Winter,10,4,No,Pilgrimage
Vivaan Iyer,38,Male,Manali,October,Winter,10,1,No,Festival
Ishaan Reddy,51,Male,Goa,April,Winter,3,3,No,Holiday
Ayaan Singh,57,Female,,November,Summer,15,10,Yes,Business
Vivaan Iyer,27,,Goa,March,Festival,6,5,Yes,
Saanvi Pandey,30,Female,Shimla,March,Winter,10,10,Yes,Festival
Sara Yadav,37,Female,Goa,August,Summer,7,10,Yes,Festival
Sai Kulkarni,26,Female,,July,Monsoon,5,7,Yes,Holiday
Diya More,43,Female,Kashmir,March,Winter,3,7,No,Business
Ananya Deshmukh,56,Male,Konkan,May,Monsoon,5,4,Yes,Pilgrimage
Ananya Sharma,40,Female,,November,,8,8,No,Business
Pooja Ghosh,23,Male,Goa,February,Festival,5,3,Yes,Pilgrimage
Myra Kulkarni,32,Male,Jaipur,July,Monsoon,4,10,Yes,Business
Rahul Joshi,19,Female,Vrindavan,February,Winter,12,3,No,Festival
,49,Male,Goa,April,,,3,No,Festival
Saanvi Mishra,20,Male,Manali,February,Monsoon,10,5,Yes,Business
Kiran More,55,Male,Kashmir,January,,14,9,No,Pilgrimage
Ananya Chitkote,60,Male,Jaipur,August,Winter,15,2,No,Festival
Sneha Kulkarni,18,Male,Vrindavan,October,Monsoon,7,1,,
Arjun Naidu,19,Male,Kashmir,January,Summer,13,6,Yes,Pilgrimage
Rohit Mishra,47,Female,Shimla,October,,9,5,Yes,Festival
Pari Patil,49,Male,Kashmir,May,Winter,10,6,Yes,Holiday
Manisha Sharma,30,Male,Manali,July,Winter,3,9,Yes,Holiday
Ananya Chitkote,47,Male,Goa,May,Winter,7,4,No,Business
Ananya Waghmare,56,Female,Kashmir,December,Festival,12,5,No,Festival
Aarav Thakur,58,Male,Manali,December,Monsoon,4,6,Yes,Pilgrimage
Ishaan Naidu,60,Female,Goa,March,Festival,5,3,Yes,Business
Arjun Naidu,43,Female,Kashmir,December,Winter,4,3,Yes,Festival
Anika Singh,57,Male,Jaipur,August,Winter,5,10,No,Pilgrimage
Sara Yadav,47,Female,Konkan,February,Summer,4,3,No,Festival
Kiran Verma,43,Male,Goa,July,Festival,,4,Yes,Pilgrimage
Prisha Chitkote,38,Male,Goa,May,Monsoon,9,9,,Festival
,43,Female,Shimla,May,Summer,5,7,Yes,Business
Krishna Reddy,34,Male,Jaipur,December,Festival,,10,Yes,Festival
,20,Female,Manali,August,Winter,15,8,Yes,Business
Vihaan Yadav,45,Female,Goa,January,Summer,2,6,Yes,Business
Anika Chitkote,60,Male,Konkan,October,Festival,,8,Yes,Festival
Gaurav Deshmukh,58,Male,Manali,February,Summer,12,3,No,Pilgrimage
Pooja Kulkarni,38,Male,Goa,February,Winter,7,4,Yes,Holiday
Myra Thakur,41,Female,Goa,December,Winter,12,5,No,Festival
Sneha Iyer,42,Male,Vrindavan,November,Monsoon,6,,No,Holiday
Aditya Reddy,27,Male,Kashmir,May,Winter,11,,No,Holiday
Anika Pawar,57,Female,Kashmir,November,Summer,15,1,No,Festival
Ayaan Yadav,27,Male,Kashmir,November,Festival,15,9,Yes,Business
Diya Joshi,53,,Konkan,May,Festival,13,8,No,Holiday
Pari Pandey,31,Male,Shimla,April,,5,7,,Holiday
Rahul Kulkarni,20,Male,Konkan,March,Winter,12,10,Yes,Holiday
Sai Pawar,44,Male,Kashmir,December,Winter,12,4,No,Business
Vivaan Jadhav,20,Male,Goa,,Winter,3,7,Yes,Holiday
Saanvi Sharma,23,Female,Manali,November,Summer,2,10,Yes,Pilgrimage
Vivaan Thakur,18,Male,Shimla,December,Summer,4,3,No,Business
Kiran Deshmukh,57,Female,Manali,December,Festival,15,1,Yes,Pilgrimage
Sunita Iyer,51,Male,Manali,November,Monsoon,7,1,Yes,Business
Anika Pawar,27,Female,Kashmir,July,Festival,13,3,No,Festival
Prisha Iyer,58,Female,Goa,,Monsoon,10,2,No,Pilgrimage
Aadhya More,42,Female,Manali,October,Monsoon,4,10,No,Festival
Pooja Sharma,21,Female,Goa,September,Winter,8,3,No,Festival
Ayaan Waghmare,49,Female,Vrindavan,June,Summer,4,2,Yes,Holiday
Sujeet Singh,46,Male,Konkan,August,Winter,14,7,Yes,Holiday
Manisha Chitkote,33,Male,Shimla,March,Monsoon,8,5,No,Festival
Aditya Waghmare,47,Female,Manali,February,Summer,5,1,No,Holiday
Prisha Naidu,51,Male,Konkan,October,Festival,15,6,Yes,Business
,57,Male,Manali,February,Monsoon,12,7,No,Business
Anika Chitkote,45,Female,Shimla,October,Summer,13,1,No,Business
Aadhya Jadhav,26,Female,Goa,December,Winter,12,4,No,Pilgrimage
Sujeet Thakur,55,,Jaipur,March,Winter,15,9,No,Business
Pooja Waghmare,32,Male,Konkan,March,Monsoon,10,5,Yes,Pilgrimage
Pooja Yadav,38,Male,Vrindavan,August,Monsoon,8,9,Yes,Business
Saanvi Jadhav,48,Female,Goa,May,Winter,5,7,Yes,Festival
Manisha More,57,Female,,November,Summer,15,4,Yes,Festival
Diya Chitkote,20,Male,Goa,December,Monsoon,,10,Yes,Business
Diya Mishra,53,Male,Jaipur,November,Festival,5,4,No,Festival
Diya Mishra,35,Female,Shimla,January,Festival,11,2,No,Festival
Diya Reddy,21,Male,Shimla,May,Winter,5,7,No,Festival
,25,Female,Goa,April,Summer,3,6,,Business
Kiran Singh,42,,Jaipur,December,Festival,8,4,No,Pilgrimage
Krishna Kulkarni,36,Male,Shimla,November,Summer,3,5,No,Pilgrimage
Sai Jadhav,42,Male,Kashmir,March,Monsoon,14,9,No,Festival
Ishaan Sharma,36,Male,Kashmir,December,Summer,7,1,No,Pilgrimage
Aarav Sharma,,Female,Manali,February,Monsoon,5,8,Yes,Pilgrimage
,42,Male,Kashmir,November,Summer,,6,Yes,Holiday
Ananya Yadav,51,Female,Manali,October,Summer,12,6,No,Holiday
Abhilasha Chitkote,18,Female,Jaipur,August,Summer,5,1,No,Festival
Kiran Naidu,31,Male,Shimla,September,Summer,4,5,No,Pilgrimage
,51,Male,,May,Summer,15,5,No,Holiday
Vivaan Deshmukh,29,Female,Konkan,July,Monsoon,12,6,Yes,Holiday
,48,Male,Shimla,November,Summer,6,7,No,Pilgrimage
Gaurav Yadav,30,Female,Manali,September,Monsoon,15,4,No,Holiday
Rohit Pandey,28,Male,Jaipur,November,Summer,11,9,Yes,Pilgrimage
,55,Male,Manali,November,Summer,3,9,No,Festival
Vivaan Pawar,59,Male,Kashmir,December,Winter,14,7,Yes,Holiday
Ishaan Iyer,36,Female,,August,Winter,14,7,,Holiday
Sara Naidu,54,Male,Vrindavan,December,Festival,4,10,No,Festival
Sai Joshi,30,Male,Goa,,Festival,2,6,No,Business
Ananya Deshmukh,20,Male,Jaipur,July,Summer,12,10,Yes,Festival
Aarav Joshi,56,Male,Shimla,November,Winter,12,3,Yes,Festival
Saanvi Verma,45,Male,Konkan,August,Festival,14,6,Yes,Business
Sneha Joshi,29,Male,Goa,August,Summer,10,3,No,Pilgrimage
Sunita Pandey,29,Male,,,Winter,14,9,No,Business
Aadhya Reddy,28,Female,Goa,December,Winter,11,1,No,
Sunita Sharma,,Male,Kashmir,July,Monsoon,13,5,Yes,Business
Anika Sharma,43,Female,Kashmir,September,,4,1,Yes,Holiday
Sara Kulkarni,25,Male,Shimla,July,Winter,9,3,Yes,Holiday
Ananya Singh,52,Female,Kashmir,December,Winter,5,,Yes,Holiday
Ira Thakur,36,Female,Kashmir,June,Festival,13,9,Yes,Business
Aditya Joshi,48,Male,Manali,October,Festival,6,7,Yes,Festival
Pari Joshi,33,Male,Vrindavan,June,Summer,7,1,Yes,Pilgrimage
Pari Pandey,,,Goa,February,Monsoon,8,5,Yes,Holiday
Myra Reddy,37,,Manali,February,Festival,7,5,Yes,Business
Pari Ghosh,19,Male,Vrindavan,May,Summer,12,6,Yes,Festival
Ayaan More,44,Male,Manali,November,Festival,,7,Yes,Festival
Saanvi Pawar,40,Male,Goa,April,Summer,8,9,No,Pilgrimage
Sara Pandey,57,Female,Goa,April,Summer,5,,No,Business
Vihaan More,43,Female,Goa,August,Festival,3,,No,Business
Aarav Mishra,21,Male,Vrindavan,August,Summer,10,3,No,Business
Ira More,31,Female,Manali,January,Festival,,6,Yes,Holiday
Myra Naidu,22,Male,Goa,October,Monsoon,9,10,No,
Pari Kulkarni,,Male,Konkan,April,Winter,11,6,No,Pilgrimage
Ira Thakur,44,Male,Vrindavan,December,Monsoon,5,9,Yes,Business
Arjun Thakur,59,Female,Konkan,July,Winter,11,6,Yes,Holiday
Kiran Naidu,25,Male,,November,Winter,2,4,No,Pilgrimage
Ishaan Reddy,45,Male,Vrindavan,December,Festival,,8,Yes,Business
Diya Ghosh,22,Male,Kashmir,February,Monsoon,15,2,Yes,Holiday
Gaurav Joshi,46,Female,Goa,September,Festival,,5,,Pilgrimage
Pooja Reddy,20,Male,Manali,November,Festival,9,5,No,Festival
Arjun Verma,46,Male,Shimla,June,Winter,10,7,Yes,Holiday
Sai Kulkarni,,Male,Kashmir,September,Summer,12,9,No,Business
Sunita Iyer,59,Male,Konkan,August,Winter,2,7,Yes,
Aadhya Deshmukh,40,Female,Goa,October,Festival,5,4,Yes,Holiday
Vivaan Joshi,48,Female,Goa,January,,8,3,No,Holiday
Sai Waghmare,20,Female,Manali,July,Festival,5,5,Yes,Holiday
Aadhya Naidu,57,Female,Konkan,June,Monsoon,7,,Yes,Festival
Sara Joshi,25,Female,Goa,May,Festival,14,9,Yes,Holiday
Ishaan Sharma,44,Male,Shimla,July,Festival,8,1,No,Festival
Vihaan Deshmukh,25,Male,Manali,May,Monsoon,14,3,No,Holiday
Reyansh Sharma,29,Female,Manali,March,Summer,7,10,No,
Ananya Kulkarni,47,Male,Manali,January,Monsoon,14,7,Yes,Festival
Abhilasha Mishra,29,Male,Goa,,Summer,13,,Yes,Holiday
Manisha Reddy,41,Male,Goa,May,Winter,8,10,No,Pilgrimage
Aadhya Singh,19,Male,Vrindavan,April,Festival,4,9,No,Festival
Aadhya Joshi,19,Female,Konkan,October,Summer,4,3,Yes,Business
Vivaan Sharma,31,Male,Kashmir,April,Winter,9,9,No,Pilgrimage
Arjun Deshmukh,26,Male,Goa,September,Monsoon,2,,Yes,Festival
Ishaan Thakur,,Male,Kashmir,February,Winter,9,1,No,Business
Aarav Naidu,55,Male,Manali,,Festival,10,1,No,Holiday
Myra Mishra,,Female,Goa,September,Summer,13,6,No,Pilgrimage
Sai More,40,Male,Konkan,November,Summer,14,3,No,
Sneha Pandey,,Female,Jaipur,,Summer,14,1,No,Festival
Aditya Sharma,58,Male,Manali,July,Summer,8,3,No,Pilgrimage
Rahul Waghmare,23,Female,Jaipur,November,Winter,10,9,Yes,Pilgrimage
Ayaan Verma,25,Female,Manali,August,Monsoon,12,4,No,Business
Manisha Singh,47,Male,,September,Monsoon,6,1,Yes,Pilgrimage
Vivaan Naidu,47,Male,Manali,May,Summer,4,9,Yes,Holiday
Diya Waghmare,55,Male,Manali,October,Summer,15,2,No,Festival
Ira Mishra,44,Male,Goa,June,Winter,8,1,No,
Arjun Sharma,33,Female,Kashmir,June,,3,10,No,Business
Reyansh Sharma,34,Female,Manali,May,Festival,2,5,Yes,Pilgrimage
Manisha Ghosh,28,Female,,July,,8,8,Yes,Pilgrimage
Sai Verma,50,Female,Vrindavan,August,Monsoon,10,6,No,Pilgrimage
Gaurav Yadav,58,Male,Kashmir,February,Festival,9,2,Yes,Pilgrimage
Sneha Reddy,31,Male,Goa,January,Monsoon,6,7,Yes,Holiday
Aarav Yadav,29,Male,Konkan,June,Winter,7,5,Yes,Holiday
Saanvi Verma,53,Female,Manali,March,Festival,2,4,Yes,Holiday
Ananya Ghosh,60,Female,Manali,April,Winter,8,5,No,Business
Diya More,51,Male,Manali,September,Winter,14,7,Yes,Holiday
Arjun Naidu,55,Male,Manali,October,Winter,13,5,Yes,Festival
Krishna Ghosh,51,Male,,,Winter,,4,Yes,Pilgrimage
Kiran Deshmukh,46,Female,Goa,September,Winter,4,5,No,Pilgrimage
Myra Pawar,27,Male,Goa,October,Monsoon,9,6,No,Business
,31,Female,Manali,June,Winter,3,10,,Holiday
Kiran Thakur,50,Male,Manali,December,Festival,5,7,Yes,Pilgrimage
Anika Kulkarni,48,Male,Jaipur,July,Winter,10,9,Yes,Festival
Sai Reddy,31,Female,Goa,October,Winter,10,7,Yes,Business
,21,Male,Jaipur,April,Festival,9,,No,Festival
Sara Sharma,57,Male,,June,Winter,8,10,No,Holiday
Sai Sharma,45,Male,Jaipur,April,Monsoon,8,6,No,Pilgrimage
Diya Patil,45,Male,Jaipur,August,Summer,3,5,No,Festival
Anika Patil,48,Male,Manali,July,Festival,12,3,No,
,,Female,Konkan,June,Festival,3,2,Yes,Holiday
Ananya Patil,26,,Kashmir,August,Summer,,8,Yes,Festival
,36,Male,Manali,January,Summer,13,4,Yes,Pilgrimage
Reyansh Patil,28,Female,Goa,September,,10,10,,Pilgrimage
Ayaan Pawar,32,Male,Konkan,October,Winter,3,1,Yes,Business
Sneha Waghmare,48,Male,Manali,April,Festival,10,9,Yes,Holiday
Diya Ghosh,44,Female,Jaipur,February,Winter,8,8,No,Business
Pooja Thakur,57,Female,Goa,October,Festival,4,4,Yes,Holiday
Reyansh Waghmare,30,Male,Shimla,May,Winter,9,3,Yes,Festival
,26,Female,Manali,,Summer,6,9,,Business
Vivaan Singh,26,Male,Kashmir,September,Festival,6,5,No,Pilgrimage
Rohit Jadhav,40,Female,Konkan,September,Summer,8,6,Yes,Business
Prisha Singh,49,Female,Manali,February,Festival,4,2,No,
Krishna Deshmukh,29,Male,Kashmir,May,Winter,8,7,Yes,Business
Ayaan Pandey,,Male,Konkan,January,Festival,3,8,No,Festival
Ishaan Pawar,55,Male,Goa,November,Winter,15,10,No,Holiday
Anika Joshi,21,Male,Goa,July,Festival,2,10,No,Pilgrimage
Myra Thakur,33,Male,Goa,August,Monsoon,,5,No,Festival
Krishna Jadhav,35,Male,Konkan,October,Summer,6,1,No,Business
Aarav Joshi,60,Male,Goa,December,Festival,7,10,No,Festival
Anika Singh,37,Male,Konkan,December,Festival,11,7,No,
Reyansh Patil,38,Female,,August,Festival,15,5,No,Business
Ira Waghmare,50,Female,Shimla,September,Festival,12,6,Yes,Business
Rahul Chitkote,41,Female,Kashmir,November,Winter,14,8,No,Pilgrimage
Prisha Verma,20,Female,Jaipur,October,Monsoon,11,7,No,Pilgrimage
Sneha Singh,32,Male,Kashmir,November,Summer,15,3,Yes,Business
,23,Male,Manali,June,Festival,12,8,No,Pilgrimage
Reyansh Kulkarni,39,Female,,July,,10,1,Yes,Business
,53,Female,Shimla,November,Summer,9,8,Yes,
Vivaan Yadav,23,Female,Goa,March,Summer,15,7,Yes,Festival
Aadhya Pawar,41,Male,Kashmir,May,Summer,8,,No,Holiday
Vivaan Verma,47,Female,Kashmir,June,Monsoon,13,5,No,Festival
Rohit Mishra,52,Female,Shimla,October,Monsoon,11,2,No,Holiday
Myra Pawar,39,Male,Jaipur,January,Winter,8,4,No,Pilgrimage
Aarav Verma,37,Male,Konkan,August,Winter,6,2,Yes,Business
Aadhya Iyer,20,Male,Konkan,May,,6,10,Yes,Pilgrimage
Ira Deshmukh,29,Male,Goa,March,Festival,14,10,No,Holiday
Vivaan Sharma,52,,Goa,March,Winter,2,4,Yes,Business
Prisha Pandey,31,Male,Manali,June,Summer,14,6,No,Festival
,39,Female,Goa,January,Monsoon,13,3,Yes,Business
Ishaan Singh,18,Male,,February,Winter,7,3,No,Festival
Sara Pandey,46,Female,Shimla,October,Winter,11,7,No,Holiday
Arjun Reddy,30,Male,Shimla,November,Monsoon,3,4,Yes,Business
Vihaan Iyer,33,Female,Kashmir,December,Summer,3,5,Yes,Holiday
Myra Jadhav,51,Male,Goa,July,Winter,15,1,Yes,Pilgrimage
Myra Singh,27,,Kashmir,September,Monsoon,6,9,No,Holiday
Ananya Pandey,59,Male,Goa,January,Summer,11,7,Yes,Business
Ishaan Mishra,21,Male,Goa,September,Festival,15,4,Yes,Festival
Krishna Waghmare,45,Female,Goa,November,Summer,15,2,No,Business
Sara Reddy,25,Female,Kashmir,August,Monsoon,6,10,No,Festival
Abhilasha Sharma,48,Male,Kashmir,May,Winter,12,5,No,Business
Myra Deshmukh,46,Female,Jaipur,,Summer,8,10,Yes,Festival
Pari Kulkarni,38,Male,,February,Festival,7,6,Yes,Festival
Manisha Sharma,56,Male,Konkan,December,Winter,15,6,Yes,Pilgrimage
,29,Female,Goa,May,Summer,12,2,No,Pilgrimage
Ayaan Joshi,33,,Goa,July,Festival,14,,Yes,Festival
Rahul Ghosh,35,Male,Kashmir,,,7,4,Yes,Holiday
Sneha Mishra,51,Female,Goa,January,Festival,10,6,No,
Ishaan Pandey,39,Male,Shimla,December,Festival,3,10,Yes,Festival
Rohit Pandey,30,Female,Konkan,,Festival,4,9,Yes,Holiday
Ananya Waghmare,50,Female,Manali,August,Monsoon,13,9,No,Holiday
Arjun Sharma,48,Male,Konkan,March,,8,10,No,Pilgrimage
Aadhya Chitkote,37,Male,Kashmir,November,Winter,7,3,No,Holiday
Rohit Kulkarni,29,Female,Kashmir,May,Festival,8,10,,Business
Sunita Ghosh,27,Male,Kashmir,September,Winter,13,6,No,Pilgrimage
Diya Verma,35,Female,Jaipur,August,Monsoon,5,5,No,Pilgrimage
Reyansh Pawar,18,Male,Vrindavan,August,Summer,,1,,Holiday
Pari Yadav,44,Male,Goa,January,Summer,5,1,No,Holiday
